,ID,CN 1,e_CN 1,CN 2,e_CN 2,Ca4227,e_Ca4227,G4300,e_G 300,Fe4383,e_Fe4383,Ca 4455,e_Ca 4455,Fe 4531,e_Fe 4531,C 24668,e_C 24668,Hb,e_Hb,Fe 5015,e_Fe 5015,Mg1,e_Mg1,Mg2,e_Mg2,Mgb,e_Mgb,Fe5270,e_Fe5270,Fe5335,e_Fe5335,Fe 5406,e_Fe 5406,Fe 5709,e_Fe 5709,Fe 5782,e_Fe 5782,NaD,e_NaD,TiO1,e_TiO1,TiO2,e_TiO2
0,B001-G039,0.003,0.008,0.024,0.01,0.65,0.15,4.92,0.23,2.95,0.34,0.8,0.16,2.48,0.23,2.06,0.32,1.68,0.12,3.48,0.24,0.0522,0.0023,0.1604,0.0027,2.63,0.11,2.02,0.12,1.68,0.13,1.21,0.1,0.69,0.07,0.65,0.07,3.31,0.09,0.0262,0.002,0.0509,0.0016
1,B002-G043,-0.089,0.004,-0.073,0.006,0.05,0.09,0.82,0.15,0.13,0.24,0.07,0.11,0.66,0.17,0.18,0.24,2.55,0.09,0.53,0.2,0.0099,0.002,0.041,0.0023,0.62,0.1,0.44,0.11,0.59,0.13,0.37,0.09,0.08,0.08,0.14,0.08,1.02,0.12,0.0094,0.0022,-0.0029,0.0018
2,B003-G045,-0.075,0.005,-0.057,0.007,0.25,0.1,1.74,0.17,0.71,0.29,0.19,0.13,1.31,0.19,0.3,0.28,2.68,0.11,1.33,0.23,0.0161,0.0023,0.0588,0.0026,0.91,0.11,0.87,0.12,0.77,0.14,0.52,0.1,0.41,0.09,0.24,0.08,1.49,0.13,0.0106,0.0025,-0.0038,0.002
3,B004-G050,0.014,0.005,0.035,0.006,0.56,0.09,4.14,0.14,2.55,0.22,0.76,0.11,2.63,0.15,2.45,0.22,1.78,0.09,3.47,0.18,0.0478,0.0018,0.148,0.0021,2.27,0.08,2.04,0.09,1.66,0.11,1.13,0.08,0.67,0.06,0.41,0.06,2.06,0.09,0.0232,0.0018,0.0372,0.0015
4,B005-G052,0.042,0.005,0.066,0.006,0.65,0.1,4.47,0.15,2.43,0.23,0.51,0.12,2.51,0.17,2.1,0.25,1.48,0.1,3.69,0.21,0.0561,0.0021,0.159,0.0025,2.51,0.1,2.11,0.11,1.64,0.12,1.11,0.09,0.7,0.07,0.54,0.07,2.94,0.09,0.0237,0.002,0.0374,0.0017
5,B006-G058,0.082,0.002,0.11,0.002,0.68,0.04,5.01,0.06,3.08,0.08,0.85,0.04,2.94,0.06,2.73,0.09,1.67,0.04,4.09,0.07,0.0658,0.0007,0.1871,0.0009,3.2,0.03,2.21,0.04,1.88,0.04,1.25,0.03,0.75,0.02,0.61,0.02,2.56,0.03,0.0304,0.0007,0.0486,0.0006
6,B008-G060,0.014,0.003,0.037,0.004,0.62,0.06,4.69,0.09,2.49,0.14,0.75,0.07,2.52,0.1,1.77,0.14,1.75,0.05,3.58,0.11,0.0501,0.0011,0.155,0.0013,2.59,0.05,1.9,0.06,1.65,0.07,1.1,0.05,0.67,0.04,0.45,0.04,1.77,0.05,0.0273,0.0011,0.0421,0.0009
7,B009-G061,-0.074,0.003,-0.051,0.004,0.29,0.07,2.18,0.11,0.74,0.17,0.14,0.09,1.38,0.12,0.54,0.18,2.52,0.07,1.71,0.15,0.016,0.0015,0.0696,0.0017,1.19,0.07,1.13,0.08,1.1,0.09,0.51,0.07,0.36,0.06,0.3,0.05,0.86,0.08,0.0115,0.0016,0.0046,0.0013
8,B010-G062,-0.086,0.004,-0.062,0.005,0.23,0.08,1.82,0.13,0.77,0.2,0.1,0.1,1.04,0.14,0.37,0.21,2.62,0.08,1.48,0.17,0.0162,0.0017,0.0606,0.0019,0.87,0.08,0.75,0.09,0.73,0.1,0.35,0.08,0.23,0.06,0.11,0.06,1.7,0.08,0.0026,0.0017,0.0022,0.0014
9,B011-G063,-0.061,0.006,-0.039,0.007,0.44,0.12,2.2,0.2,0.96,0.3,0.25,0.15,1.61,0.22,0.86,0.33,2.26,0.13,2.27,0.27,0.0263,0.0027,0.0827,0.0031,1.26,0.13,1.39,0.14,0.97,0.17,0.63,0.12,0.33,0.1,0.38,0.09,1.47,0.12,0.019,0.0027,0.0005,0.0023
