,HD,Tel,Ca4227,G4300,HgF,Fe4383,Fe 4531,Fe 4668,Hb,Fe 5015,Mg2,Mgb,Fe5270,Fe 5406,NaD
0,400,N,0.482,1.13,2.13,0.975,1.88,1.24,3.42,3.37,0.0696,1.29,1.34,0.352,1.04
1,400,N,0.482,1.13,2.13,0.975,1.88,1.24,3.42,3.37,0.0696,1.29,1.34,0.352,1.04
2,691,N,0.977,5.51,-1.69,4.63,3.01,4.98,2.19,6.09,0.198,3.95,3.43,2.09,2.26
3,691,N,0.977,5.51,-1.69,4.63,3.01,4.98,2.19,6.09,0.198,3.95,3.43,2.09,2.26
4,3079,N,0.477,2.84,1.54,1.61,1.99,1.77,3.05,4.15,0.0828,1.66,1.68,0.716,1.08
5,3079,N,0.477,2.84,1.54,1.61,1.99,1.77,3.05,4.15,0.0828,1.66,1.68,0.716,1.08
6,3079,K,0.47,3.59,1.05,2.79,2.3,1.58,3.15,3.46,0.0807,1.52,1.35,0.516,0.861
7,3765,K,2.99,5.83,-1.58,8.63,4.36,6.27,1.06,6.33,0.386,6.86,4.19,2.82,4.7
8,3770,K,0.41,4.22,1.18,2.58,2.36,1.79,3.16,3.68,0.0759,0.905,1.26,0.493,1.16
9,4256,K,3.81,5.71,-1.77,8.23,4.84,7.36,1.8,6.49,0.458,8.02,4.33,3.25,6.2
10,4256,K,3.73,5.96,-1.91,9.61,4.86,7.17,0.857,6.53,0.459,8.11,4.36,3.26,6.23
11,4903,K,0.305,3.75,1.25,2.5,2.44,1.84,3.3,3.52,0.0763,1.27,1.3,0.534,0.959
12,5470,K,0.625,4.81,0.268,3.85,2.88,4.26,3.13,4.81,0.117,2.13,1.99,0.848,1.62
13,6963,K,1.28,5.03,-1.83,4.91,2.84,2.73,2.0,4.13,0.157,3.4,2.31,1.33,1.75
14,7590,K,0.694,3.87,0.531,2.9,2.43,1.9,2.82,3.71,0.0946,1.96,1.52,0.704,1.12
15,8331,K,0.64,5.73,-1.12,4.09,2.76,3.43,2.44,4.34,0.117,1.96,1.9,0.923,1.31
16,9070,K,1.11,5.2,-1.21,5.51,3.28,5.75,2.73,5.65,0.17,3.04,3.07,1.41,2.39
17,9331,K,1.2,5.59,-1.5,5.58,3.31,5.2,2.56,5.36,0.169,3.37,2.69,1.35,1.98
18,10086,K,1.07,4.66,-1.17,4.67,2.99,4.11,2.47,4.78,0.147,2.78,2.27,1.22,1.68
19,11850,K,1.26,5.12,-1.47,4.85,3.01,3.74,2.19,4.67,0.152,2.97,2.43,1.25,1.73
20,11850,K,1.2,5.26,-1.29,4.89,3.04,3.86,2.36,4.65,0.155,2.95,2.56,1.3,1.89
21,12235,K,0.512,4.67,0.515,3.51,2.9,4.33,3.24,4.74,0.111,1.82,2.03,0.743,1.61
22,12328,K,1.62,5.85,-1.69,6.87,3.72,6.11,1.3,5.6,0.248,4.82,3.55,2.17,2.7
23,12414,K,0.227,2.42,2.72,0.902,1.69,0.809,3.63,2.24,0.0554,0.98,0.972,0.276,0.899
24,12661,K,0.662,5.36,-1.33,5.29,3.22,6.8,2.73,5.67,0.18,3.34,2.64,1.34,2.31
25,12846,K,0.824,5.15,-1.15,3.83,2.35,2.32,2.28,3.59,0.129,2.7,1.71,0.798,1.38
26,13531,K,1.19,5.18,-1.45,4.5,3.03,3.38,2.09,4.53,0.15,2.83,2.31,1.25,1.77
27,13825,K,0.708,5.37,-1.39,5.0,3.17,5.29,2.58,5.1,0.174,2.96,2.4,1.17,2.08
28,16275,K,0.826,4.67,-0.482,4.72,3.14,5.43,2.87,5.34,0.14,2.96,2.61,1.18,2.18
29,17230,K,6.86,5.55,-1.58,8.34,5.4,-3.2,1.45,6.32,0.572,8.53,5.28,4.14,11.3
30,17230,K,6.78,5.48,-1.44,8.09,5.57,-3.07,1.27,6.32,0.569,8.38,5.27,4.19,11.3
31,18143,K,2.35,5.55,-1.69,8.17,4.11,7.39,1.45,6.4,0.344,5.76,3.74,2.48,4.41
32,18803,K,0.911,4.9,-1.15,3.74,3.01,4.57,2.47,4.51,0.17,3.71,2.9,1.24,2.27
33,19373,K,0.587,4.26,0.727,2.3,2.62,2.96,3.09,4.28,0.104,2.01,1.9,0.755,1.55
34,21019,K,0.526,5.63,-1.71,3.61,2.36,2.03,1.73,3.48,0.105,1.83,1.54,0.765,1.38
35,21197,K,5.97,5.45,-1.59,8.79,5.65,-2.0,1.68,6.91,0.556,9.12,5.58,4.15,10.5
36,22072,K,1.06,6.07,-1.99,4.57,3.09,4.29,1.28,4.65,0.207,3.87,2.53,1.47,1.84
37,23249,K,1.19,6.14,-1.66,6.96,3.69,7.76,1.51,5.77,0.257,3.98,3.5,2.14,3.25
38,23596,K,0.542,4.63,0.527,3.56,2.93,3.97,3.34,4.73,0.11,1.62,1.83,0.794,1.53
