,Mod,No,Name,Teff,logg,[Fe/H],[Mg/Fe],M,HdA,HdF,CN 1,CN 2,Ca4227,G4300,HgA,HgF,Fe4383,Ca 4455,Fe 4531,C2-4668,Hb,Fe 5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe 5406,Fe 5709,Fe 5782,NaD,TiO1,TiO2
0,CD,1,HD032147,4658.0,4.47,0.02,-0.056,168.0,-7.127,-1.37,0.101,0.15,3.527,5.809,-10.765,-3.638,8.533,1.897,4.597,6.758,0.664,5.738,0.235,0.464,6.829,4.537,4.4,2.93,1.301,1.075,6.613,0.004,0.012
1,CD,2,HD131977,4501.0,4.7,0.02,0.124,532.0,-6.714,-1.176,0.025,0.076,4.021,5.471,-10.36,-3.266,8.178,1.781,4.688,3.646,0.13,5.02,0.254,0.457,6.24,4.478,4.303,2.96,1.153,0.931,6.578,0.001,0.016
2,CD,3,HD156026,4541.0,4.54,-0.37,0.157,625.0,-5.71,-0.976,-0.021,0.034,4.642,4.967,-9.665,-3.166,7.445,1.676,5.081,1.661,-0.391,4.536,0.284,0.461,5.748,4.387,4.083,2.845,0.977,0.863,6.827,0.003,0.012
3,CD,4,HD103932,4510.0,4.57,0.16,-0.049,426.0,-6.926,-1.156,0.058,0.113,4.356,5.62,-11.064,-3.831,8.289,1.983,4.907,4.918,0.042,5.456,0.296,0.495,6.438,4.701,4.66,3.182,1.211,1.107,8.114,0.014,0.021
4,CD,5,BD+430699,4608.0,4.52,-0.6,0.237,115.0,-5.43,-1.0,-0.002,0.038,3.183,5.331,-8.96,-3.053,6.813,1.35,3.99,2.747,0.556,4.188,0.178,0.396,6.176,3.691,3.265,2.124,0.844,0.539,4.548,0.004,0.005
5,CD,6,HD021197,4616.0,4.59,0.3,-0.098,117.0,-6.463,-1.072,0.049,0.103,4.491,5.558,-11.053,-3.551,8.422,2.095,5.281,5.077,0.021,6.085,0.298,0.506,6.331,4.726,4.747,3.209,1.268,1.236,8.929,0.011,0.028
6,CD,7,HD108564,4594.0,4.67,-1.09,0.516,442.0,-3.606,-0.158,-0.016,0.026,3.105,4.949,-7.847,-2.786,5.315,0.877,3.32,1.182,0.24,3.191,0.211,0.409,6.409,2.983,2.686,1.682,0.707,0.325,3.911,0.006,0.006
7,TO,1,BD+342476,6205.0,4.12,-2.05,0.187,491.0,4.391,3.402,-0.089,-0.057,0.11,-0.307,3.953,3.419,-0.277,0.019,0.222,0.249,3.528,0.303,-0.002,0.014,0.506,0.209,0.341,0.072,0.045,0.075,0.377,0.002,-0.005
8,TO,2,HD000400,6205.0,4.12,-0.33,0.106,7.0,2.798,2.492,-0.083,-0.057,0.48,2.991,0.674,2.028,1.112,0.414,1.794,1.412,3.484,3.071,0.004,0.062,1.378,1.202,0.994,0.525,0.348,0.19,0.719,0.003,0.001
9,TO,3,HD009826,6134.0,4.09,0.11,0.115,63.0,2.318,2.27,-0.08,-0.053,0.65,3.5,-0.108,1.831,1.84,0.535,2.404,2.675,3.537,3.657,0.005,0.075,1.646,1.581,1.348,0.632,0.598,0.302,1.079,0.004,0.001
10,TO,4,HD014938,6153.0,4.04,-0.35,0.115,86.0,2.573,2.427,-0.071,-0.042,0.393,2.536,0.672,2.124,1.439,0.369,1.742,1.117,3.42,2.256,0.004,0.055,1.371,1.153,1.102,0.479,0.264,0.157,0.758,0.007,0.0
11,TO,5,HD016673,6253.0,4.28,0.05,0.045,92.0,2.721,2.487,-0.085,-0.055,0.597,3.067,0.614,2.076,1.434,0.486,2.104,1.898,3.607,2.989,-0.003,0.069,1.669,1.444,1.212,0.577,0.37,0.207,0.954,0.007,0.001
12,TO,6,HD043318,6224.0,3.93,-0.15,0.059,213.0,2.861,2.55,-0.081,-0.054,0.337,2.866,1.055,2.356,1.068,0.383,2.209,1.497,3.931,2.804,0.007,0.048,1.127,1.206,1.183,0.497,0.404,0.196,0.624,0.007,-0.002
13,TO,7,HD074000,6166.0,4.19,-2.02,0.377,310.0,3.832,3.165,-0.079,-0.05,0.16,-0.049,3.465,3.117,-0.325,0.016,0.243,0.213,3.358,0.058,0.0,0.011,0.478,0.362,0.341,0.182,0.052,-0.019,0.361,0.008,-0.004
